angry-mean,angry-median,angry-min,angry-max,angry-sd,angry-range,angry-skewness,angry-kurtosis,disgust-mean,disgust-median,disgust-min,disgust-max,disgust-sd,disgust-range,disgust-skewness,disgust-kurtosis,fear-mean,fear-median,fear-min,fear-max,fear-sd,fear-range,fear-skewness,fear-kurtosis,happy-mean,happy-median,happy-min,happy-max,happy-sd,happy-range,happy-skewness,happy-kurtosis,neutral-mean,neutral-median,neutral-min,neutral-max,neutral-sd,neutral-range,neutral-skewness,neutral-kurtosis,sad-mean,sad-median,sad-min,sad-max,sad-sd,sad-range,sad-skewness,sad-kurtosis,surprise-mean,surprise-median,surprise-min,surprise-max,surprise-sd,surprise-range,surprise-skewness,surprise-kurtosis,class
0.040463320463320386,0.04,0,0.15,0.02453776551491336,0.15,-0.0022393579377125846,0.0018675171984850014,0,0,0,0,0,0,0,0,0.2637837837837838,0.26,0.05,0.64,0.13375901646643895,0.59,6.87986022062346E-06,8.340768631695756E-07,0.02660231660231653,0.01,0,0.49,0.05375513044061383,0.49,0.1798019007962313,0.6468828333122013,0.4578378378378379,0.48,0.08,0.84,0.1800513567789772,0.76,-0.0013819403286836262,0.0009811881831953688,0.1528185328185328,0.14,0.03,0.34,0.06284879418625239,0.31000000000000005,-0.012436938432591116,0.01836755013384235,0.05791505791505775,0.04,0,0.31,0.05701297458762077,0.31,0.0006881496823914784,0.00038726698378751227,distracted
0.03041666666666663,0.03,0,0.14,0.020223576725088878,0.14,-3.6440231902178635E-08,7.507786661893299E-10,0,0,0,0,0,0,0,0,0.2345416666666666,0.22,0.02,0.79,0.1146834335488589,0.77,-0.003156130529289411,0.002877025351781914,0.0524999999999997,0.02,0,0.49,0.07402983632743403,0.49,-0.00035254817724786797,0.00015477294465271642,0.49991666666666656,0.51,0.05,0.91,0.16477507817897968,0.86,0.005439196412161901,0.005944519228161889,0.13608333333333336,0.15,0.02,0.34,0.06000410865562095,0.32,-8.023687037248106E-05,2.15064661526838E-05,0.047041666666666496,0.02,0,0.3,0.05684040461874123,0.3,-0.00044866029872954244,0.00021344890709681908,distracted
0.05094076655052247,0.05,0.01,0.14,0.021368346859222027,0.13,-0.003279314391482137,0.003213695358382828,0,0,0,0,0,0,0,0,0.19383275261324046,0.16,0.06,0.52,0.09355882779447791,0.46,-2.3954998772983297E-07,9.813460291423475E-09,0.01202090592334492,0.01,0,0.08,0.008957482723415018,0.08,0.0024627533725779757,0.002193757046947173,0.5001742160278747,0.51,0.18,0.74,0.10763681495886952,0.56,0.002779481432892043,0.002577778924250402,0.20595818815331002,0.21,0.08,0.35,0.05380670975664354,0.26999999999999996,-0.003919220767626113,0.004075932056077885,0.0381533101045296,0.01,0,0.28,0.0524693789696555,0.28,-0.00014430049180999522,4.992495866165912E-05,distracted
0.05476666666666656,0.05,0.01,0.11,0.01917321627224344,0.1,6.778428588144E-05,1.850173480247482E-05,0,0,0,0,0,0,0,0,0.16113333333333332,0.14,0.05,0.38,0.07358022077222175,0.33,0.0009764131783766268,0.0006484630898890199,0.018699999999999956,0.01,0,0.33,0.04045544874715068,0.33,-3.3151671815161595E-05,7.129312706294429E-06,0.5680333333333333,0.58,0.35,0.81,0.09142464413688224,0.4600000000000001,-0.009154994061902242,0.012820880162653581,0.17830000000000004,0.19,0.03,0.35,0.06198475619053447,0.31999999999999995,0.007632911429833669,0.010060681079401263,0.01839999999999997,0.01,0,0.14,0.01916872452720838,0.14,1.9384698233925062E-06,1.618027173913258E-07,distracted
0.04641025641025633,0.05,0.01,0.1,0.019242243219283913,0.09000000000000001,-0.00013542425608442784,4.511450124481405E-05,0,0,0,0,0,0,0,0,0.1855311355311355,0.15,0.05,0.56,0.10646755658730161,0.51,0.12406103831090731,0.4013914319217461,0.023553113553113528,0.01,0,0.47,0.052318182631811004,0.47,-6.367905874267991E-05,1.6496167693144756E-05,0.5484981684981687,0.59,0.18,0.8,0.12789768474141108,0.6200000000000001,-0.04204152740526137,0.09483286332982646,0.1777289377289378,0.19,0.04,0.34,0.057645879335526534,0.30000000000000004,-0.0004076920523797766,0.00019610885744706839,0.018827838827838773,0.01,0,0.13,0.018279966458328457,0.13,-0.00041254787648928234,0.0001992293678829617,distracted
0.10141342756183752,0.06,0.01,0.42,0.07973530922380043,0.41,-0.0016145500997493494,0.001243552656422346,0,0,0,0,0,0,0,0,0.16360424028268553,0.13,0.03,0.5,0.09428405459152617,0.47,0.0012340133163747458,0.0008690043294908087,0.011201413427561832,0.01,0,0.07,0.011055836351757902,0.07,-4.534362157125352E-06,4.927391657830067E-07,0.5601766784452291,0.62,0.14,0.85,0.1658524522656695,0.71,-0.00016878447992682555,6.124051369968334E-05,0.1479151943462897,0.15,0.04,0.32,0.04596318870714157,0.28,-1.8045456038449294E-05,3.1075583663663422E-06,0.016961130742049434,0.01,0,0.16,0.020470315700297156,0.16,0.16050998942179695,0.5727057805856639,distracted
0.07034364261168388,0.07,0.02,0.2,0.025536553932184753,0.18000000000000002,-0.005765318223254002,0.006850601540584646,0,0,0,0,0,0,0,0,0.22274914089347075,0.22,0.08,0.51,0.06392652266429968,0.43,-2.725878718879955E-05,5.436336968931055E-06,0.008419243986254285,0.01,0,0.17,0.014486971541548134,0.17,-0.0006745178952708936,0.00039200261539089733,0.480618556701031,0.47,0.22,0.78,0.09818085317699646,0.56,0.003564039467774082,0.003607621800182783,0.20024054982817885,0.21,0.06,0.31,0.05737928196067914,0.25,-0.0023067728659440425,0.0020197801916233826,0.016804123711340185,0.01,0,0.2,0.02382120074614484,0.2,-0.0012063231837039041,0.0008509732246851071,distracted
0.08986254295532643,0.1,0.01,0.37,0.04167434300635153,0.36,-0.0012643901026458538,0.0009060227715358772,0,0,0,0,0,0,0,0,0.2026116838487972,0.18,0.09,0.55,0.07941831309309563,0.4600000000000001,0.008496031909708093,0.01148821380379784,0.016701030927835033,0.01,0,0.23,0.02531132542585386,0.23,-0.0009871705465654248,0.0006513592453912675,0.49243986254295485,0.51,0.14,0.7,0.10455547693954971,0.5599999999999999,-0.0011428770225849038,0.0007918270457263386,0.153745704467354,0.16,0.05,0.28,0.037591454672122875,0.23000000000000004,0.003082606056251012,0.0029729552088051023,0.04553264604810985,0.03,0,0.43,0.060564141678550974,0.43,-0.0002574825402691133,0.00010854955394485091,distracted
0.05585365853658522,0.04,0.01,0.37,0.04327071631942661,0.36,-8.626169827444264E-06,1.1669474633999327E-06,0,0,0,0,0,0,0,0,0.25337979094076635,0.22,0.08,0.75,0.13137468827941617,0.67,-5.932701807848779E-08,1.5262675091406535E-09,0.027038327526132302,0.01,0,0.23,0.034478826426769485,0.23,-0.00042047634178415103,0.0002077858897989055,0.46874564459930335,0.49,0.04,0.79,0.15271695519612555,0.75,-6.543826971313023E-07,3.747454559773145E-08,0.14717770034843208,0.14,0.05,0.33,0.052994442456704524,0.28,0.009041079523245467,0.012423797132186653,0.047979094076654884,0.03,0,0.43,0.06283177791178282,0.43,-0.0007695092776995069,0.0004651350991792914,distracted
0.07884745762711859,0.08,0,0.13,0.027715756736961798,0.13,-0.05195908371073498,0.12906920954996348,0,0,0,0,0,0,0,0,0.2152203389830509,0.21,0.06,0.4,0.06205958530878728,0.34,-0.01652153771569438,0.02801181784114299,0.02962711864406778,0.01,0,0.46,0.06898437511742683,0.46,0.48326137643839534,2.52454696268088,0.4918644067796607,0.5,0.27,0.76,0.09115593970385125,0.49,-0.0010596089674977883,0.0007191202285405209,0.16488135593220332,0.17,0.03,0.36,0.04682353629003068,0.32999999999999996,-0.05006497597926895,0.12283421503207095,0.02084745762711856,0.02,0,0.1,0.01682291975637879,0.1,-0.0009087778868495104,0.0005859820865117395,distracted
